eval_model,generating_model,dataset,novel,open,eval_accuracy,std eval_accuracy,stderr eval_accuracy,question_token_count,std_question_token_count,avg_answer_token_count,std_avg_answer_token_count,reformat_question_cosine_similarity_to_orig,std_reformat_question_cosine_similarity_to_orig,reformat_answer_cosine_similarity_to_orig,std_reformat_answer_cosine_similarity_to_orig,reformat_question_similarity_score,std_reformat_question_similarity_score,reformat_answer_similarity_score,std_reformat_answer_similarity_score,answer_correctness_score,std_answer_correctness_score,explanation_validity_score,std_explanation_validity_score,question_clarity_score,std_question_clarity_score,question_difficulty_score,std_question_difficulty_score,question_groundedness_score,std_question_groundedness_score,validity_score
meta-llama/Llama-4-Maverick,google/gemma-3-12b-it,hle,True,True,0.7131782945736435,0.4528630587649817,0.02302032300603668,,,,,,,,,,,,,,,,,,,,,,,
google/gemma-3-27b-it,google/gemma-3-12b-it,hle,True,True,0.7416020671834626,0.43832053097175744,0.02228108477354039,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,google/gemma-3-12b-it,hle,True,True,0.5142118863049095,0.5004449694253271,0.02543904745583548,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.2-3B-Instruct,google/gemma-3-12b-it,hle,True,True,0.3333333333333333,0.47201475343588567,0.02399385835828982,,,,,,,,,,,,,,,,,,,,,,,
google/gemma-3-12b-it,google/gemma-3-12b-it,hle,True,True,0.7002583979328165,0.4587377764750821,0.023318951690002664,,,,,,,,,,,,,,,,,,,,,,,
google/gemma-3-4b-it,google/gemma-3-12b-it,hle,True,True,0.5813953488372093,0.49396892801429887,0.025109851770303296,,,,,,,,,,,,,,,,,,,,,,,
microsoft/phi-4,google/gemma-3-12b-it,hle,True,True,0.6821705426356589,0.46623554928830885,0.023700084901567914,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen2.5-7B-Instruct,google/gemma-3-12b-it,hle,True,True,0.5813953488372093,0.49396892801429887,0.025109851770303296,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-4-Maverick,google/gemma-3-12b-it,hle,False,True,0.15625,0.36596252735569995,0.045745315919462494,,,,,,,,,,,,,,,,,,,,,,,
google/gemma-3-27b-it,google/gemma-3-12b-it,hle,False,True,0.125,0.3333333333333333,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,
