eval_model,generating_model,dataset,novel,open,eval_accuracy,std eval_accuracy,stderr eval_accuracy,question_token_count,std_question_token_count,avg_answer_token_count,std_avg_answer_token_count,reformat_question_cosine_similarity_to_orig,std_reformat_question_cosine_similarity_to_orig,reformat_answer_cosine_similarity_to_orig,std_reformat_answer_cosine_similarity_to_orig,reformat_question_similarity_score,std_reformat_question_similarity_score,reformat_answer_similarity_score,std_reformat_answer_similarity_score,answer_correctness_score,std_answer_correctness_score,explanation_validity_score,std_explanation_validity_score,question_clarity_score,std_question_clarity_score,question_difficulty_score,std_question_difficulty_score,question_groundedness_score,std_question_groundedness_score,validity_score
meta-llama/Llama-4-Maverick,meta-llama/Llama-4-Maverick-FP8,mmlu_pro_biology,True,True,0.48548812664907653,0.5004500215456082,0.02570639090096145,,,,,,,,,,,,,,,,,9.010554089709762,0.5764914891374531,6.203166226912929,0.8827819431637698,8.3377308707124,1.6555419431287777,8.674142480211081
meta-llama/Llama-4-Maverick,meta-llama/Llama-4-Maverick-FP8,mmlu_pro_physics,True,True,0.44329896907216493,0.49763036063580335,0.029171608368395406,,,,,,,,,,,,,,,,,9.065292096219931,0.6468518799094127,6.096219931271477,0.8601642972693662,7.77319587628866,1.7020615434569202,8.419243986254296
meta-llama/Llama-4-Maverick,meta-llama/Llama-4-Maverick-FP8,mmlu_pro_chemistry,True,True,0.41887905604719766,0.49410481496289893,0.026836089829075697,,,,,,,,,,,,,,,,,9.23598820058997,0.6497581668413241,6.073746312684365,0.8469210976662728,7.71976401179941,1.7568891630749557,8.47787610619469
meta-llama/Llama-4-Maverick,meta-llama/Llama-4-Maverick-FP8,mmlu_pro_computer_science,True,True,0.35947712418300654,0.4806331764398431,0.02747596991066097,,,,,,,,,,,,,,,,,8.944444444444445,0.5887162158980273,6.032679738562091,0.8198381846843915,7.908496732026144,1.7725557676236101,8.426470588235293
meta-llama/Llama-4-Maverick,meta-llama/Llama-4-Maverick-FP8,mmlu_pro_math,True,True,0.3979591836734694,0.4907304010662191,0.03505217150472994,,,,,,,,,,,,,,,,,9.08673469387755,0.5869564798215435,5.841836734693878,0.7696306388672526,7.137755102040816,1.664884337842223,8.112244897959183
meta-llama/Llama-4-Maverick,meta-llama/Llama-4-Maverick-FP8,mmlu_pro_psychology,True,True,0.43952802359882004,0.4970633419679335,0.026996774959162553,,,,,,,,,,,,,,,,,8.982300884955752,0.56935974316583,6.056047197640118,0.8412925566733463,8.404129793510325,1.6108355609411478,8.693215339233038
google/gemma-3-27b-it,meta-llama/Llama-4-Maverick-FP8,mmlu_pro_biology,True,True,0.6675461741424802,0.47171537115174306,0.0242303910535724,,,,,,,,,,,,,,,,,9.010554089709762,0.5764914891374531,6.203166226912929,0.8827819431637698,8.3377308707124,1.6555419431287777,8.674142480211081
google/gemma-3-27b-it,meta-llama/Llama-4-Maverick-FP8,mmlu_pro_psychology,True,True,0.56047197640118,0.4970633419679335,0.026996774959162553,,,,,,,,,,,,,,,,,8.982300884955752,0.56935974316583,6.056047197640118,0.8412925566733463,8.404129793510325,1.6108355609411478,8.693215339233038
google/gemma-3-27b-it,meta-llama/Llama-4-Maverick-FP8,mmlu_pro_computer_science,True,True,0.5522875816993464,0.4980730037109099,0.028472938478033536,,,,,,,,,,,,,,,,,8.944444444444445,0.5887162158980273,6.032679738562091,0.8198381846843915,7.908496732026144,1.7725557676236101,8.426470588235293
google/gemma-3-27b-it,meta-llama/Llama-4-Maverick-FP8,mmlu_pro_chemistry,True,True,0.6253687315634219,0.4847430506703921,0.02632762858784855,,,,,,,,,,,,,,,,,9.23598820058997,0.6497581668413241,6.073746312684365,0.8469210976662728,7.71976401179941,1.7568891630749557,8.47787610619469
